Run_ID,Time,Obj_ID,Obj_X,Obj_Y,Obj_Z,Obj_Angle
0,7.9,SmartAlec,80,0,-2,90
0,7.9,DumbAlec,100,0,-2,90
0,7.9,veh1,269.768,0,28.7983,26.5638
0,7.9,veh2,371.987,0,157.351,143.13
0,8,SmartAlec,81,0,-2,90
0,8,DumbAlec,100,0,-2,90
0,8,veh1,270.117,0,29.496,26.5638
0,8,veh2,372.449,0,156.735,143.13
0,8.1,SmartAlec,82,0,-2,90
0,8.1,DumbAlec,100,0,-2,90
0,8.1,veh1,270.47,0,30.2026,26.5638
0,8.1,veh2,372.917,0,156.111,143.13
0,8.2,SmartAlec,83,0,-2,90
0,8.2,DumbAlec,100,0,-2,90
0,8.2,veh1,270.828,0,30.9181,26.5638
0,8.2,veh2,373.391,0,155.479,143.13
0,8.3,SmartAlec,84,0,-2,90
0,8.3,DumbAlec,100,0,-2,90
0,8.3,veh1,271.19,0,31.6426,26.5638
0,8.3,veh2,373.871,0,154.839,143.13
0,8.4,SmartAlec,85,0,-2,90
0,8.4,DumbAlec,100,0,-2,90
0,8.4,veh1,271.557,0,32.3761,26.5638
0,8.4,veh2,374.357,0,154.191,143.13
0,8.5,SmartAlec,86,0,-2,90
0,8.5,DumbAlec,100,0,-2,90
0,8.5,veh1,271.928,0,33.1185,26.5638
0,8.5,veh2,374.849,0,153.535,143.13
0,8.6,SmartAlec,87,0,-2,90
0,8.6,DumbAlec,100,0,-2,90
0,8.6,veh1,272.304,0,33.8698,26.5638
0,8.6,veh2,375.347,0,152.871,143.13
0,8.7,SmartAlec,88,0,-2,90
0,8.7,DumbAlec,100,0,-2,90
0,8.7,veh1,272.684,0,34.6301,26.5638
0,8.7,veh2,375.851,0,152.199,143.13
0,8.8,SmartAlec,89,0,-2,90
0,8.8,DumbAlec,100,0,-2,90
0,8.8,veh1,273.069,0,35.3993,26.5638
0,8.8,veh2,376.361,0,151.519,143.13
0,8.9,SmartAlec,90,0,-2,90
0,8.9,DumbAlec,100,0,-2,90
0,8.9,veh1,273.458,0,36.1774,26.5638
0,8.9,veh2,376.877,0,150.831,143.13
0,9,SmartAlec,91,0,-2,90
0,9,DumbAlec,100,0,-2,90
0,9,veh1,273.851,0,36.9646,26.5638
0,9,veh2,377.399,0,150.135,143.13
0,9.1,SmartAlec,92,0,-2,90
0,9.1,DumbAlec,100,0,-2,90
0,9.1,veh1,274.249,0,37.7606,26.5638
0,9.1,veh2,377.927,0,149.431,143.13
0,9.2,SmartAlec,93,0,-2,90
0,9.2,DumbAlec,100,0,-2,90
0,9.2,veh1,274.652,0,38.5656,26.5638
0,9.2,veh2,378.461,0,148.719,143.13
0,9.3,SmartAlec,94,0,-2,90
0,9.3,DumbAlec,100,0,-2,90
0,9.3,veh1,275.059,0,39.3795,26.5638
0,9.3,veh2,379.001,0,147.999,143.13
0,9.4,SmartAlec,95,0,-2,90
